target_date,chronology_block,decision_rule,baseline_value,comparator_value,source_rows,effect,estimand,estimand_label,baseline_name,comparator_name,positive_effect_interpretation,rule_order,estimand_order,block_order
2026-06-20,external_test,12h_prior,1.5,0.31858738904193507,1,1.181412610958065,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-21,external_test,12h_prior,2.700000000000003,0.57527930823385,1,2.1247206917661527,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-22,external_test,12h_prior,2.6999999999999993,0.5752793082338538,1,2.1247206917661456,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-23,external_test,12h_prior,1.6000000000000014,0.30735001530456385,1,1.2926499846954376,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-24,external_test,12h_prior,1.6999999999999957,0.30229951025405766,1,1.397700489745938,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-25,external_test,12h_prior,0.8999999999999986,0.5266681971227446,1,0.373331802877254,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-26,external_test,12h_prior,1.5,0.31858738904193673,1,1.1814126109580632,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-27,external_test,12h_prior,1.1999999999999993,0.39687021732476324,1,0.803129782675236,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-28,external_test,12h_prior,1.1000000000000014,0.43626415671869945,1,0.663735843281302,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-29,external_test,12h_prior,2.200000000000003,0.3856328435873875,1,1.8143671564126154,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
