target_date,decision_rule,split,total_variation_market_matern,expected_rank_market_minus_matern,modal_disagreement,realised_event_probability_market,realised_event_probability_matern,realised_event_probability_market_minus_matern,categorical_log_matern_minus_market,multiclass_brier_winner_component_matern_minus_market,multiclass_brier_nonwinner_component_matern_minus_market,multiclass_brier_total_matern_minus_market
2026-04-23,event_day_open,development,0.34747918373824865,0.32868808418585793,0,0.035592393954168695,0.07327162300715613,-0.037679229052987435,-0.7220414369146089,-0.07125654587526087,-0.2489004467278405,-0.3201569926031014
2026-04-24,12h_prior,development,0.25148725764252594,0.41783081117171417,0,0.49783549783549785,0.2530785743899596,0.24475692344553823,0.6765696856018709,0.3057224288012128,0.04750817265563764,0.3532306014568505
2026-04-24,24h_prior,development,0.1930154858880386,0.4078024025604696,0,0.33994334277620397,0.24532139458819713,0.09462194818800684,0.32620979931754657,0.1338650067208519,-0.005514887439306641,0.12835011928154524
2026-04-24,6h_prior,development,0.4028756590205164,1.1626173338058816,1,0.47035766780989713,0.18508472675902551,0.28527294105087164,0.9326796979165977,0.38356590251364064,0.05876268035153028,0.4423285828651709
2026-04-24,event_day_open,development,0.3818423105693127,0.48345948822518814,0,0.6487341772151899,0.2746137575996375,0.37412041961555237,0.8596574519462385,0.40279752240702793,0.07781364195443845,0.4806111643614664
2026-04-25,12h_prior,development,0.16405527846889695,0.03657860100575139,0,0.26381284221005474,0.2253378851604502,0.03847495704960455,0.15763893312634214,0.058129860872846106,-0.0443615346344848,0.013768326238361307
2026-04-25,24h_prior,development,0.17856463903483877,-0.3393906202411676,0,0.3336557059961315,0.2459466254353417,0.08770908056078977,0.30499509832914007,0.12458177354083488,-0.016018248989564714,0.10856352455127016
2026-04-25,6h_prior,development,0.3701846512448791,-1.2003761475242385,1,0.30317848410757947,0.2539191846019672,0.04925929950561225,0.1773056430113189,0.07107635809438262,-0.04616017256526625,0.02491618552911637
2026-04-25,event_day_open,development,0.44520442564451396,-1.2577133133360867,1,0.21792966815255074,0.27028183866638095,-0.052352170513830204,-0.21529287389993645,-0.07914540897586175,-0.1611550971665325,-0.24030050614239426
2026-04-26,12h_prior,development,0.2827882844994532,0.8171347226352736,1,0.346135609293504,0.15440794118930384,0.19172766810420017,0.8072325638045215,0.28748728848973465,0.03715930240891663,0.3246465908986513
2026-04-26,24h_prior,development,0.3299419987393095,1.0858853953289618,1,0.3473227206946454,0.15321080321200883,0.1941119174826366,0.8184396066865118,0.2910643128754114,0.04471864701159295,0.33578295988700435
2026-04-26,6h_prior,development,0.3872853558794785,1.1673351296653065,1,0.3637245392822503,0.17505414974649672,0.18867038953575357,0.7313014677519347,0.2756891939388909,0.007505919794574761,0.2831951137334657
2026-04-26,event_day_open,development,0.3896537156921933,1.1512569657058442,1,0.44046466602129714,0.17975549863817494,0.2607091673831222,0.8962326422035379,0.3597212520436505,0.04916335562111522,0.40888460766476575
2026-04-27,12h_prior,development,0.34536866354426043,0.7588434243490081,1,0.33115905669844453,0.2559234458135412,0.07523561088490333,0.25772043382241994,0.10630171105347963,-0.07902452435538987,0.02727718669808976
2026-04-27,24h_prior,development,0.25274099252717924,0.3669770442153908,1,0.3037608486017358,0.24444597028878,0.05931487831295579,0.21724640549707308,0.08611293587308799,-0.05959164827330055,0.02652128759978744
2026-04-27,6h_prior,development,0.43395208339198543,1.073038808202396,1,0.23267086766844403,0.25324440030786494,-0.02057353263942091,-0.08473016175014947,-0.0311500716531381,-0.2334325484399348,-0.2645826200930729
2026-04-27,event_day_open,development,0.3599345312447007,0.8395972388867712,1,0.289357528200098,0.273898005764293,0.015459522435805007,0.05490724995468632,0.022211383307196075,-0.17464452314824563,-0.15243313984104956
2026-04-28,12h_prior,development,0.3142954780904826,0.10788781826220806,0,0.11302211302211301,0.17735960606118678,-0.06433749303907377,-0.45059585415148296,-0.10999255424795173,-0.17979591751626056,-0.2897884717642123
2026-04-28,24h_prior,development,0.4963914960249322,1.6346542333609406,1,0.16221374045801526,0.05578046940305703,0.10643327105495823,1.0674910537300897,0.18966470528336155,-0.0823176314849413,0.10734707379842025
2026-04-28,6h_prior,development,0.3436598024423687,0.2840813240280182,1,0.0901352028042063,0.14198501809173858,-0.05184981528753228,-0.45441074918232993,-0.09166423999710871,-0.18969848247072563,-0.28136272246783434
2026-04-28,event_day_open,development,0.3407194504109078,-0.1377090348745016,1,0.06680369989722508,0.17726823342977482,-0.11046453353254974,-0.9759055618630175,-0.19396777480174476,-0.20642860261982884,-0.40039637742157363
