scope_type,scope_value,split,model,benchmark,metric,dates,mean_model_minus_market,median_model_minus_market,model_better_fraction,market_better_fraction
decision_rule,24h_prior,all_exact_support,static,market,binary_log,82,0.012458659601910718,0.025226046029896837,0.35365853658536583,0.6463414634146342
decision_rule,24h_prior,all_exact_support,static,market,categorical_log,82,0.1226845665198056,0.2472241121961961,0.34146341463414637,0.6585365853658537
decision_rule,24h_prior,all_exact_support,static,market,multiclass_brier,82,0.028541720321993064,0.06599376715155492,0.4146341463414634,0.5853658536585366
decision_rule,12h_prior,development,static,market,binary_brier,60,0.00066698490154113,0.004179413160866556,0.4166666666666667,0.5833333333333334
decision_rule,12h_prior,development,static,market,binary_log,60,0.0024782465267634414,0.018551762212639253,0.38333333333333336,0.6166666666666667
decision_rule,12h_prior,development,static,market,categorical_log,60,0.026867580887097963,0.14910327783092459,0.4,0.6
decision_rule,12h_prior,development,static,market,multiclass_brier,60,0.008379719771030823,0.03356812230997064,0.43333333333333335,0.5666666666666667
decision_rule,12h_prior,june_external,static,market,binary_brier,28,0.006850782213798612,0.0118822078284146,0.2857142857142857,0.7142857142857143
decision_rule,12h_prior,june_external,static,market,binary_log,28,0.02605619857573496,0.03754899730216911,0.21428571428571427,0.7857142857142857
decision_rule,12h_prior,june_external,static,market,categorical_log,28,0.2372599779537885,0.32701806378649867,0.21428571428571427,0.7857142857142857
decision_rule,12h_prior,june_external,static,market,multiclass_brier,28,0.07302463536414708,0.13265553386411855,0.2857142857142857,0.7142857142857143
decision_rule,12h_prior,all_exact_support,static,market,binary_brier,88,0.002634556773623056,0.007569965860153363,0.375,0.625
decision_rule,12h_prior,all_exact_support,static,market,binary_log,88,0.009980322178708924,0.025638699975467055,0.32954545454545453,0.6704545454545454
decision_rule,12h_prior,all_exact_support,static,market,categorical_log,88,0.09381061631740857,0.22406117485543386,0.3409090909090909,0.6590909090909091
decision_rule,12h_prior,all_exact_support,static,market,multiclass_brier,88,0.02894855655065872,0.0727504002134764,0.38636363636363635,0.6136363636363636
decision_rule,6h_prior,development,static,market,binary_brier,58,0.0015511578453450278,0.007574524909486614,0.4482758620689655,0.5517241379310345
decision_rule,6h_prior,development,static,market,binary_log,58,0.0037802013586047327,0.025235867491445463,0.3793103448275862,0.6206896551724138
decision_rule,6h_prior,development,static,market,categorical_log,58,0.030330067720048596,0.21409371635708008,0.3620689655172414,0.6379310344827587
decision_rule,6h_prior,development,static,market,multiclass_brier,58,0.017369617470347605,0.08082998459631907,0.46551724137931033,0.5344827586206896
decision_rule,6h_prior,june_external,static,market,binary_brier,29,0.012380726021959165,0.012606838044927043,0.27586206896551724,0.7241379310344828
decision_rule,6h_prior,june_external,static,market,binary_log,29,0.04497040813286667,0.04607319537693197,0.13793103448275862,0.8620689655172413
decision_rule,6h_prior,june_external,static,market,categorical_log,29,0.4008515652036908,0.3844313010282526,0.13793103448275862,0.8620689655172413
decision_rule,6h_prior,june_external,static,market,multiclass_brier,29,0.13449047921406257,0.12648850427920932,0.27586206896551724,0.7241379310344828
decision_rule,6h_prior,all_exact_support,static,market,binary_brier,87,0.005161013904216407,0.009496182823675009,0.39080459770114945,0.6091954022988506
decision_rule,6h_prior,all_exact_support,static,market,binary_log,87,0.017510270283358716,0.03222685280449333,0.2988505747126437,0.7011494252873564
decision_rule,6h_prior,all_exact_support,static,market,categorical_log,87,0.15383723354792933,0.2783904297956632,0.28735632183908044,0.7126436781609196
decision_rule,6h_prior,all_exact_support,static,market,multiclass_brier,87,0.0564099047182526,0.10043395056852877,0.40229885057471265,0.5977011494252874
decision_rule,event_day_open,development,static,market,binary_brier,63,-0.0016817860098333535,0.0023189060554254515,0.47619047619047616,0.5238095238095238
decision_rule,event_day_open,development,static,market,binary_log,63,-0.0013194390092876882,0.014876623372785058,0.47619047619047616,0.5238095238095238
