scope_type,scope_value,split,model,benchmark,metric,dates,point_model_minus_market,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
overall,all_rules,all_exact_support,raw,market,binary_log,97,4.264887696473342,circular_moving_block,5.0,3.9666246092824022,4.529605175899648,10000,20267004,settlement_date
overall,all_rules,all_exact_support,raw,market,categorical_log,97,23.1528708952085,circular_moving_block,5.0,21.479532150235777,24.645051357244487,10000,20267004,settlement_date
overall,all_rules,all_exact_support,raw,market,multiclass_brier,97,1.0695088425566295,circular_moving_block,5.0,0.923191886551225,1.2004647128313952,10000,20267004,settlement_date
overall,all_rules,all_exact_support,raw,market,binary_brier,97,0.09714199183848796,circular_moving_block,7.0,0.0838880225325094,0.10877621865920799,10000,20267104,settlement_date
overall,all_rules,all_exact_support,raw,market,binary_log,97,4.264887696473342,circular_moving_block,7.0,3.975039943291639,4.518469059235194,10000,20267104,settlement_date
overall,all_rules,all_exact_support,raw,market,categorical_log,97,23.1528708952085,circular_moving_block,7.0,21.5196222276016,24.576834850760523,10000,20267104,settlement_date
overall,all_rules,all_exact_support,raw,market,multiclass_brier,97,1.0695088425566295,circular_moving_block,7.0,0.9244357098294451,1.1968884378637314,10000,20267104,settlement_date
overall,all_rules,all_exact_support,static,market,binary_brier,97,0.0017704503570809698,ordinary_date,,-0.0023108245638241605,0.0057360715429136365,10000,20267804,settlement_date
overall,all_rules,all_exact_support,static,market,binary_log,97,0.008469688083150002,ordinary_date,,-0.005656760195587461,0.021809662831333086,10000,20267804,settlement_date
overall,all_rules,all_exact_support,static,market,categorical_log,97,0.08453398403598061,ordinary_date,,-0.04083974527675403,0.20308100024907222,10000,20267804,settlement_date
overall,all_rules,all_exact_support,static,market,multiclass_brier,97,0.020421886261152593,ordinary_date,,-0.02377965673185551,0.06329526340764875,10000,20267804,settlement_date
overall,all_rules,all_exact_support,static,market,binary_brier,97,0.0017704503570809698,circular_moving_block,3.0,-0.002482082555635531,0.005676599988363245,10000,20267904,settlement_date
overall,all_rules,all_exact_support,static,market,binary_log,97,0.008469688083150002,circular_moving_block,3.0,-0.007509992758099986,0.023080908937668437,10000,20267904,settlement_date
overall,all_rules,all_exact_support,static,market,categorical_log,97,0.08453398403598061,circular_moving_block,3.0,-0.05910516294096829,0.21564442538627535,10000,20267904,settlement_date
overall,all_rules,all_exact_support,static,market,multiclass_brier,97,0.020421886261152593,circular_moving_block,3.0,-0.026244455399349657,0.06287122483515631,10000,20267904,settlement_date
overall,all_rules,all_exact_support,static,market,binary_brier,97,0.0017704503570809698,circular_moving_block,5.0,-0.0025811097738660405,0.0056534322667459,10000,20268004,settlement_date
overall,all_rules,all_exact_support,static,market,binary_log,97,0.008469688083150002,circular_moving_block,5.0,-0.00894306012391488,0.023491375079538624,10000,20268004,settlement_date
overall,all_rules,all_exact_support,static,market,categorical_log,97,0.08453398403598061,circular_moving_block,5.0,-0.07398019770595159,0.22039984159494663,10000,20268004,settlement_date
overall,all_rules,all_exact_support,static,market,multiclass_brier,97,0.020421886261152593,circular_moving_block,5.0,-0.027595391708855842,0.06280931431759165,10000,20268004,settlement_date
