transition,split,metric,dates,mean,median,q10,q90
6h_to_open,june_external,update_cosine_similarity,29,0.059322530925941135,0.03516004928811467,-0.428800526706033,0.5865196435569164
6h_to_open,june_external,event_sign_alignment_fraction,29,0.5485893416927901,0.5454545454545454,0.2727272727272727,0.7454545454545454
6h_to_open,june_external,realised_probability_change_market,29,0.009395272254221635,0.007463229081007938,-0.06595795581925723,0.08634623155707025
6h_to_open,june_external,realised_probability_change_matern,29,0.015268936828220038,0.020564289980036038,-0.02916430240143812,0.0697330880448642
6h_to_open,june_external,market_movement_towards_updated_matern,29,-0.015460724098768605,-0.018979193698064223,-0.05728300535664292,0.0443185643411258
6h_to_open,all_exact_support,market_update_total_variation,85,0.10490487042663119,0.0861531174031174,0.034558513708396195,0.17983033088369127
6h_to_open,all_exact_support,matern_update_total_variation,85,0.1327789917279704,0.10584677300299951,0.03777082793482252,0.2780722869067327
6h_to_open,all_exact_support,update_cosine_similarity,85,0.02825398018903868,0.10073776115419306,-0.6606879066818435,0.5718210160944706
6h_to_open,all_exact_support,event_sign_alignment_fraction,85,0.5593582887700534,0.5454545454545454,0.2727272727272727,0.8181818181818182
6h_to_open,all_exact_support,realised_probability_change_market,85,0.018036412874348845,0.01140662825649369,-0.05523671646529543,0.09608936899572412
6h_to_open,all_exact_support,realised_probability_change_matern,85,0.01742613196500679,0.02139650105800639,-0.048300581263037726,0.08126061368016278
6h_to_open,all_exact_support,market_movement_towards_updated_matern,85,-0.028481940170635312,-0.021327071765072925,-0.1257044777931455,0.04192917073228472
