stage,evidence_source,source_path,source_row,chronology_block,decision_rule,strategy,metric,numeric_value,text_value
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,mean_date_brier_score_difference_model_minus_market,-0.000780641516259,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,mean_date_log_score_difference_model_minus_market,0.0493639799488,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,mean_date_market_brier_score,0.585086550607,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,mean_date_market_log_score,1.09134969173,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,mean_date_model_brier_score,0.584305909091,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,mean_date_model_log_score,1.14071367168,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,model_brier_score_date_win_share,0.5,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,model_log_score_date_win_share,0.4,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,probability_books,40,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,standard_error_date_brier_score_difference_model_minus_market,0.0548698164332,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,standard_error_date_log_score_difference_model_minus_market,0.11549720189,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,standard_error_date_market_brier_score,0.093640962554,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,standard_error_date_market_log_score,0.174753363821,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,standard_error_date_model_brier_score,0.079240612851,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,standard_error_date_model_log_score,0.146419955679,
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,balanced_development_books,116,116
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,balanced_development_dates,29,29
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,balanced_development_rows,1276,1276
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,continuous_calibration_reselected,0,False
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,development_complete_common_support_books,135,135
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,development_complete_common_support_dates,36,36
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,development_probability_books,152,152
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,external_test_calendar_dates,30,30
12_trading_strategy,manifest,data/manifests/12_trading_strategy_manifest.json,,,,,holdout_calendar_dates,10,10
