weight_gp,weight_market,development_dates,development_books,date_balanced_categorical_log
0.4470000000,0.5530000000,100,385,1.4277310288
0.4480000000,0.5520000000,100,385,1.4278460060
0.4490000000,0.5510000000,100,385,1.4279613316
0.4500000000,0.5500000000,100,385,1.4280770055
0.4510000000,0.5490000000,100,385,1.4281930274
0.4520000000,0.5480000000,100,385,1.4283093972
0.4530000000,0.5470000000,100,385,1.4284261148
0.4540000000,0.5460000000,100,385,1.4285431799
0.4550000000,0.5450000000,100,385,1.4286605924
0.4560000000,0.5440000000,100,385,1.4287783522
0.4570000000,0.5430000000,100,385,1.4288964591
0.4580000000,0.5420000000,100,385,1.4290149129
0.4590000000,0.5410000000,100,385,1.4291337135
0.4600000000,0.5400000000,100,385,1.4292528608
0.4610000000,0.5390000000,100,385,1.4293723545
0.4620000000,0.5380000000,100,385,1.4294921946
0.4630000000,0.5370000000,100,385,1.4296123808
0.4640000000,0.5360000000,100,385,1.4297329132
0.4650000000,0.5350000000,100,385,1.4298537914
0.4660000000,0.5340000000,100,385,1.4299750154
0.4670000000,0.5330000000,100,385,1.4300965851
0.4680000000,0.5320000000,100,385,1.4302185003
0.4690000000,0.5310000000,100,385,1.4303407609
0.4700000000,0.5300000000,100,385,1.4304633667
0.4710000000,0.5290000000,100,385,1.4305863176
0.4720000000,0.5280000000,100,385,1.4307096136
0.4730000000,0.5270000000,100,385,1.4308332544
0.4740000000,0.5260000000,100,385,1.4309572400
0.4750000000,0.5250000000,100,385,1.4310815703
0.4760000000,0.5240000000,100,385,1.4312062451
0.4770000000,0.5230000000,100,385,1.4313312643
0.4780000000,0.5220000000,100,385,1.4314566278
0.4790000000,0.5210000000,100,385,1.4315823355
0.4800000000,0.5200000000,100,385,1.4317083873
0.4810000000,0.5190000000,100,385,1.4318347831
0.4820000000,0.5180000000,100,385,1.4319615227
0.4830000000,0.5170000000,100,385,1.4320886062
0.4840000000,0.5160000000,100,385,1.4322160333
0.4850000000,0.5150000000,100,385,1.4323438040
