event_date,empirical_period,rules,static_binary_brier,static_binary_log,static_categorical_log,static_multiclass_brier,selected_gp_binary_brier,selected_gp_binary_log,selected_gp_categorical_log,selected_gp_multiclass_brier,pool_binary_brier,pool_binary_log,pool_categorical_log,pool_multiclass_brier,market_binary_brier,market_binary_log,market_categorical_log,market_multiclass_brier
2026-06-14,market_development,4,0.0632603766,0.2041322275,1.4180580486,0.6958641431,0.0639242664,0.2069800988,1.4446532371,0.7031669302,0.0466274319,0.1558906527,1.0182700461,0.5129017510,0.0441867557,0.1478567341,0.9502119736,0.4832897096
2026-06-15,market_development,4,0.0632526789,0.2037621308,1.4135379363,0.6957794678,0.0633862708,0.2052192862,1.4287480610,0.6972489783,0.0498177561,0.1631023852,1.0691821447,0.5479953171,0.0473600568,0.1557457360,1.0089006111,0.5224736894
2026-06-16,market_development,4,0.0712513220,0.2288306655,1.6340568945,0.7837645424,0.0720620586,0.2330860906,1.6757926584,0.7926826443,0.0859260841,0.2760682264,2.0514988383,0.9451869253,0.0895050739,0.2920848771,2.2012604741,0.9865387999
2026-06-17,market_development,4,0.0642181909,0.2064339980,1.4359686246,0.7064000997,0.0644832220,0.2083175311,1.4549820015,0.7093154416,0.0547685297,0.1768593778,1.1809348354,0.6024538271,0.0526250000,0.1708581645,1.1324228996,0.5848019286
2026-06-18,market_development,4,0.0676153695,0.2171577268,1.5305603244,0.7437690642,0.0673447336,0.2174087089,1.5353678042,0.7407920701,0.0617648424,0.1954282543,1.3319054686,0.6794132666,0.0611655852,0.1919711812,1.2969535875,0.6722477672
2026-06-19,market_development,4,0.0637869004,0.2054521007,1.4285122438,0.7016559041,0.0640667804,0.2072913051,1.4468408495,0.7047345841,0.0490272569,0.1600890143,1.0429711931,0.5392998261,0.0459714943,0.1516818758,0.9765683045,0.5112356254
2026-06-20,market_development,4,0.0613093567,0.1985538509,1.3704928584,0.6744029232,0.0625768732,0.2029799043,1.4099980987,0.6883456051,0.0757144076,0.2267522642,1.5672245720,0.8328584836,0.0799256420,0.2340488242,1.6076084583,0.8737325083
2026-06-21,market_development,4,0.0803751447,0.2593527944,1.9078755943,0.8841265921,0.0787764788,0.2549833842,1.8708047000,0.8665412673,0.0541808819,0.1721328702,1.1319987385,0.5959897005,0.0504215682,0.1602537647,1.0303652070,0.5571886052
2026-06-22,market_development,4,0.0757167225,0.2435183126,1.7649488717,0.8328839476,0.0746585134,0.2411861453,1.7467948064,0.8212436478,0.0431062443,0.1453919982,0.9336644651,0.4741686873,0.0379163580,0.1307372332,0.8242806855,0.4218724728
2026-06-23,market_development,4,0.0637908244,0.2052666717,1.4262251663,0.7016990685,0.0638920630,0.2066436927,1.4407971264,0.7028126933,0.0689339269,0.2021731466,1.3371509960,0.7582731962,0.0732813466,0.2052045573,1.3185574818,0.8010752218
2026-06-24,market_development,4,0.0610525938,0.1979106427,1.3653478633,0.6715785315,0.0620841789,0.2016781257,1.3992771207,0.6829259684,0.0698694333,0.2108374693,1.4387483491,0.7685637664,0.0732857784,0.2157861549,1.4630871394,0.8051247073
2026-06-25,market_development,4,0.0664982038,0.2130096511,1.4921525440,0.7314802418,0.0673716387,0.2168181958,1.5281865450,0.7410880252,0.0564242540,0.1727389750,1.1186751226,0.6206667943,0.0551575284,0.1660821482,1.0528556104,0.6100449342
2026-06-26,market_development,4,0.0690158493,0.2211364369,1.5644259939,0.7591743418,0.0698710256,0.2252075822,1.6036738974,0.7685812811,0.0614697228,0.1846313813,1.2072278148,0.6761669513,0.0610263693,0.1789929749,1.1424045481,0.6714558560
2026-06-27,market_development,4,0.0656109113,0.2121049659,1.4898846129,0.7217200243,0.0660229693,0.2142022870,1.5099828871,0.7262526620,0.0585742421,0.1802861421,1.1854255300,0.6443166626,0.0584276193,0.1757517778,1.1312880614,0.6457549017
2026-06-28,market_development,4,0.0626331851,0.2020860151,1.3996099156,0.6889650356,0.0640307532,0.2069978676,1.4436619276,0.7043382853,0.0475772052,0.1531343776,0.9796319204,0.5233492574,0.0453461591,0.1448420269,0.9072353374,0.4975398248
2026-06-29,market_development,4,0.0629899290,0.2035356304,1.4135189325,0.6928892193,0.0639769087,0.2071966773,1.4466053560,0.7037459954,0.0454819205,0.1501235926,0.9633424722,0.5003011254,0.0416878750,0.1398815252,0.8869653082,0.4679791593
2026-06-30,market_development,4,0.0872309626,0.2907717294,2.2102352922,0.9595405885,0.0851322405,0.2821188662,2.1287260617,0.9364546460,0.0622149722,0.1895065918,1.2584752400,0.6843646938,0.0594159943,0.1779079332,1.1462343542,0.6529929429
2026-07-01,external_validation,4,0.0753416917,0.2411284272,1.7406764551,0.8287586083,0.0742298476,0.2387649055,1.7225797472,0.8165283233,0.0487059561,0.1581893695,1.0262748995,0.5357655169,0.0442140511,0.1454952330,0.9277966842,0.4929392056
2026-07-02,external_validation,4,0.0653638001,0.2096567325,1.4632202211,0.7190018013,0.0652280716,0.2104050756,1.4726154295,0.7175087881,0.0489022945,0.1582258092,1.0229587256,0.5379252397,0.0467132557,0.1498517990,0.9511482998,0.5202823148
2026-07-03,external_validation,4,0.0816797875,0.2685322971,2.0020198515,0.8984776627,0.0798968939,0.2620456487,1.9424178552,0.8788658328,0.0580263004,0.1795958851,1.1808618404,0.6382893046,0.0545060057,0.1682981310,1.0788546416,0.6065885688
2026-07-04,external_validation,4,0.1011420401,0.4097078323,3.4357664155,1.1125624406,0.0992520854,0.3930586976,3.2644967769,1.0917729394,0.1115776013,0.4789978138,4.1186243952,1.2273536141,0.1174126534,0.5162677855,4.4784863010,1.2654937740
2026-07-05,external_validation,4,0.0971645863,0.3705263367,3.0280546868,1.0688104493,0.0951127859,0.3578939400,2.9022060411,1.0462406451,0.1065741984,0.4188514038,3.4853976604,1.1723161827,0.1115287273,0.4444569412,3.7226206379,1.2074013226
