source,grouping_definition,target_date,decision_rule,request_id,run_id,forecast_issue_time_utc,decision_time_utc,source_rows,target_day_rows,unique_local_hours,conflicting_hours,earliest_valid_hour_hkt,latest_valid_hour_hkt,forecast_daily_max_c,source_preference,status,reason,selection_rule
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-13,24h_prior,,,2026-06-11T06:00:00Z,2026-06-11T16:00:00Z,24,24,24,0,2026-06-13 00:00:00+08:00,2026-06-13 23:00:00+08:00,29.6,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-13,6h_prior,,,2026-06-12T00:00:00Z,2026-06-12T10:00:00Z,24,24,24,0,2026-06-13 00:00:00+08:00,2026-06-13 23:00:00+08:00,29.1,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-13,event_day_open,,,2026-06-12T06:00:00Z,2026-06-12T16:00:00Z,24,24,24,0,2026-06-13 00:00:00+08:00,2026-06-13 23:00:00+08:00,29.4,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-14,12h_prior,,,2026-06-12T18:00:00Z,2026-06-13T04:00:00Z,24,24,24,0,2026-06-14 00:00:00+08:00,2026-06-14 23:00:00+08:00,27.6,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-14,24h_prior,,,2026-06-12T06:00:00Z,2026-06-12T16:00:00Z,24,24,24,0,2026-06-14 00:00:00+08:00,2026-06-14 23:00:00+08:00,28.6,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-14,6h_prior,,,2026-06-13T00:00:00Z,2026-06-13T10:00:00Z,24,24,24,0,2026-06-14 00:00:00+08:00,2026-06-14 23:00:00+08:00,27.8,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-14,event_day_open,,,2026-06-13T06:00:00Z,2026-06-13T16:00:00Z,24,24,24,0,2026-06-14 00:00:00+08:00,2026-06-14 23:00:00+08:00,27.6,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-15,12h_prior,,,2026-06-13T18:00:00Z,2026-06-14T04:00:00Z,24,24,24,0,2026-06-15 00:00:00+08:00,2026-06-15 23:00:00+08:00,28.6,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-15,24h_prior,,,2026-06-13T06:00:00Z,2026-06-13T16:00:00Z,24,24,24,0,2026-06-15 00:00:00+08:00,2026-06-15 23:00:00+08:00,28.4,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-15,6h_prior,,,2026-06-14T00:00:00Z,2026-06-14T10:00:00Z,24,24,24,0,2026-06-15 00:00:00+08:00,2026-06-15 23:00:00+08:00,27.4,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
