event_date,market_id,market_slug,group_item_title,yes_token_id,contract_event_type,threshold_c,lower_bound_c,upper_bound_c,event_rank,decision_rule,decision_cutoff_utc,target_available,hko_daily_max_c,Y,empirical_period,market_price_available,market_raw_yes,selected_price_timestamp_unix,selected_price_timestamp_utc,record_age_hours,book_contracts,prices_available,market_book_sum,market_book_complete,market_normalised
2026-03-17,1609226,highest-temperature-in-hong-kong-on-march-17-2026-22c,22°C,49602471127960949590593685192049246839981606701922447529540723025275693520218,interior_bin,22,22.0,23.0,5,24h_prior,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609226,highest-temperature-in-hong-kong-on-march-17-2026-22c,22°C,49602471127960949590593685192049246839981606701922447529540723025275693520218,interior_bin,22,22.0,23.0,5,12h_prior,2026-03-16T04:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609226,highest-temperature-in-hong-kong-on-march-17-2026-22c,22°C,49602471127960949590593685192049246839981606701922447529540723025275693520218,interior_bin,22,22.0,23.0,5,6h_prior,2026-03-16T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609226,highest-temperature-in-hong-kong-on-march-17-2026-22c,22°C,49602471127960949590593685192049246839981606701922447529540723025275693520218,interior_bin,22,22.0,23.0,5,event_day_open,2026-03-16T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609227,highest-temperature-in-hong-kong-on-march-17-2026-23c,23°C,52334144911727063682373729382852861422916855397219794803911657751398310730953,interior_bin,23,23.0,24.0,6,24h_prior,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609227,highest-temperature-in-hong-kong-on-march-17-2026-23c,23°C,52334144911727063682373729382852861422916855397219794803911657751398310730953,interior_bin,23,23.0,24.0,6,12h_prior,2026-03-16T04:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609227,highest-temperature-in-hong-kong-on-march-17-2026-23c,23°C,52334144911727063682373729382852861422916855397219794803911657751398310730953,interior_bin,23,23.0,24.0,6,6h_prior,2026-03-16T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609227,highest-temperature-in-hong-kong-on-march-17-2026-23c,23°C,52334144911727063682373729382852861422916855397219794803911657751398310730953,interior_bin,23,23.0,24.0,6,event_day_open,2026-03-16T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609228,highest-temperature-in-hong-kong-on-march-17-2026-24c,24°C,5519714897316392424620467314930107991429427796210736821556360577603335683128,interior_bin,24,24.0,25.0,7,24h_prior,2026-03-15T16:00:00+00:00,True,24.0,1.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609228,highest-temperature-in-hong-kong-on-march-17-2026-24c,24°C,5519714897316392424620467314930107991429427796210736821556360577603335683128,interior_bin,24,24.0,25.0,7,12h_prior,2026-03-16T04:00:00+00:00,True,24.0,1.0,market_development,False,,,,,11,0,,False,
