transition,dates,metric,point_estimate,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
24h_to_open,730,mean_squared_error_improvement_c2,0.535219178082192,ordinary_date,,0.28631164383561675,0.7913376712328767,10000,20261301,settlement_date
24h_to_open,730,improved_date_fraction,0.5150684931506849,ordinary_date,,0.4780821917808219,0.552054794520548,10000,20261301,settlement_date
24h_to_open,730,directionally_correct_fraction_among_updates,0.6388888888888888,ordinary_date,,0.6015503875968993,0.6753058701863818,10000,20261301,settlement_date
24h_to_open,730,mean_forecast_revision_c,0.026438356164383538,circular_moving_block,3.0,-0.04232876712328768,0.09589041095890405,10000,20261302,settlement_date
24h_to_open,730,mean_absolute_forecast_revision_c,0.6064383561643835,circular_moving_block,3.0,0.5584931506849314,0.6561678082191781,10000,20261302,settlement_date
24h_to_open,730,mean_absolute_error_improvement_c,0.10424657534246576,circular_moving_block,3.0,0.046982876712328744,0.16246575342465758,10000,20261302,settlement_date
24h_to_open,730,mean_squared_error_improvement_c2,0.535219178082192,circular_moving_block,3.0,0.2659448630136985,0.8193027397260273,10000,20261302,settlement_date
24h_to_open,730,improved_date_fraction,0.5150684931506849,circular_moving_block,3.0,0.4767123287671233,0.552054794520548,10000,20261302,settlement_date
24h_to_open,730,directionally_correct_fraction_among_updates,0.6388888888888888,circular_moving_block,3.0,0.6009316770186336,0.6762481089258698,10000,20261302,settlement_date
24h_to_open,730,mean_forecast_revision_c,0.026438356164383538,circular_moving_block,5.0,-0.04890753424657548,0.10329109589041079,10000,20261303,settlement_date
24h_to_open,730,mean_absolute_forecast_revision_c,0.6064383561643835,circular_moving_block,5.0,0.5563013698630137,0.6591780821917808,10000,20261303,settlement_date
24h_to_open,730,mean_absolute_error_improvement_c,0.10424657534246576,circular_moving_block,5.0,0.04589041095890409,0.1631506849315069,10000,20261303,settlement_date
24h_to_open,730,mean_squared_error_improvement_c2,0.535219178082192,circular_moving_block,5.0,0.2633815068493151,0.8394424657534246,10000,20261303,settlement_date
24h_to_open,730,improved_date_fraction,0.5150684931506849,circular_moving_block,5.0,0.4767123287671233,0.5534246575342465,10000,20261303,settlement_date
24h_to_open,730,directionally_correct_fraction_among_updates,0.6388888888888888,circular_moving_block,5.0,0.5993929037138097,0.6778128262836725,10000,20261303,settlement_date
24h_to_open,730,mean_forecast_revision_c,0.026438356164383538,circular_moving_block,7.0,-0.05219520547945201,0.10493150684931506,10000,20261304,settlement_date
24h_to_open,730,mean_absolute_forecast_revision_c,0.6064383561643835,circular_moving_block,7.0,0.5536986301369864,0.6621917808219178,10000,20261304,settlement_date
24h_to_open,730,mean_absolute_error_improvement_c,0.10424657534246576,circular_moving_block,7.0,0.04533904109589047,0.16602739726027405,10000,20261304,settlement_date
24h_to_open,730,mean_squared_error_improvement_c2,0.535219178082192,circular_moving_block,7.0,0.25662636986301385,0.8427455479452058,10000,20261304,settlement_date
24h_to_open,730,improved_date_fraction,0.5150684931506849,circular_moving_block,7.0,0.4767123287671233,0.5547945205479452,10000,20261304,settlement_date
24h_to_open,730,directionally_correct_fraction_among_updates,0.6388888888888888,circular_moving_block,7.0,0.599388379204893,0.6783536585365854,10000,20261304,settlement_date
