model,decision_rule,strategy,threshold,n_books,n_active_books,n_positions,total_stake,total_net_pnl,mean_net_pnl_per_book,mean_net_pnl_per_active_book,positive_pnl_book_rate
ecmwf_bias_fixed_sigma,12h_prior,single_best_edge,0.05,10,9,9,9.0,1.1310000000000002,0.11310000000000002,0.12566666666666668,0.3333333333333333
ecmwf_bias_fixed_sigma,24h_prior,single_best_edge,0.05,10,8,8,8.0,0.907,0.0907,0.113375,0.375
ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.05,10,9,9,9.0,0.6934999999999999,0.06935,0.07705555555555556,0.2222222222222222
ecmwf_bias_adaptive_sigma,12h_prior,single_best_edge,0.05,10,10,10,10.0,0.651,0.0651,0.0651,0.3
ecmwf_bias_adaptive_sigma,24h_prior,single_best_edge,0.05,10,8,8,8.0,0.4400000000000001,0.04400000000000001,0.055,0.375
ecmwf_bias_fixed_sigma,6h_prior,single_best_edge,0.05,10,9,9,9.0,0.266,0.026600000000000002,0.029555555555555557,0.1111111111111111
catboost_platt,24h_prior,single_best_edge,0.05,10,7,7,7.0,0.18700000000000006,0.018700000000000005,0.026714285714285715,0.14285714285714285
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.05,10,10,10,10.0,0.12999999999999998,0.012999999999999998,0.012999999999999998,0.2
catboost_raw,24h_prior,single_best_edge,0.05,10,10,10,10.0,0.08699999999999992,0.008699999999999992,0.008699999999999992,0.2
ecmwf_raw,event_day_open,single_best_edge,0.05,10,10,10,10.0,-0.15500000000000003,-0.015500000000000003,-0.015500000000000003,0.0
catboost_raw,event_day_open,single_best_edge,0.05,10,8,8,8.0,-0.1885,-0.01885,-0.0235625,0.125
ecmwf_raw,6h_prior,single_best_edge,0.05,10,10,10,10.0,-0.24350000000000002,-0.024350000000000004,-0.024350000000000004,0.0
catboost_platt,6h_prior,single_best_edge,0.05,10,10,10,10.0,-0.3055,-0.03055,-0.03055,0.1
ecmwf_raw,12h_prior,single_best_edge,0.05,10,9,9,9.0,-0.31950000000000006,-0.031950000000000006,-0.035500000000000004,0.0
ecmwf_bias_fixed_sigma,event_day_open,single_best_edge,0.05,10,10,10,10.0,-0.56,-0.05600000000000001,-0.05600000000000001,0.0
ecmwf_raw,24h_prior,single_best_edge,0.05,10,10,10,10.0,-0.5625000000000001,-0.05625000000000001,-0.05625000000000001,0.0
catboost_raw,6h_prior,single_best_edge,0.05,10,10,10,10.0,-0.5755,-0.057550000000000004,-0.057550000000000004,0.1
catboost_platt,event_day_open,single_best_edge,0.05,10,9,9,9.0,-0.993,-0.0993,-0.11033333333333334,0.0
catboost_platt,12h_prior,single_best_edge,0.05,10,10,10,10.0,-1.069,-0.1069,-0.1069,0.0
catboost_raw,12h_prior,single_best_edge,0.05,10,10,10,10.0,-1.069,-0.1069,-0.1069,0.0
ecmwf_bias_adaptive_sigma,12h_prior,proportional_positive_edge,0.1,10,5,8,5.0,1.199036860786637,0.11990368607866371,0.23980737215732742,0.8
ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.1,10,6,8,6.0,1.0447336201814,0.10447336201813999,0.1741222700302333,0.5
catboost_raw,24h_prior,proportional_positive_edge,0.1,10,5,6,5.0,1.0154628348581967,0.10154628348581966,0.20309256697163933,0.4
ecmwf_bias_adaptive_sigma,24h_prior,proportional_positive_edge,0.1,10,3,3,3.0,0.6100000000000001,0.06100000000000001,0.20333333333333337,0.6666666666666666
ecmwf_bias_fixed_sigma,24h_prior,proportional_positive_edge,0.1,10,3,3,3.0,0.6100000000000001,0.06100000000000001,0.20333333333333337,0.6666666666666666
ecmwf_bias_fixed_sigma,event_day_open,proportional_positive_edge,0.1,10,6,9,6.0,0.3785088513725975,0.037850885137259746,0.06308480856209958,0.3333333333333333
