event_date,date_group_id,decision_rule,market_slug,contract_event_type_v2,target_Y_event,model,p_market_raw,p_model_raw,q_market,q_model,normalised_edge,absolute_normalised_edge,market_probability_sum_raw,model_probability_sum_raw,book_n_contracts,allocation_weight,position_indicator,gross_pnl_component,net_pnl_component,strategy,threshold
2026-05-31,47,12h_prior,highest-temperature-in-hong-kong-on-may-31-2026-32corhigher,upper_tail,0,catboost_raw,0.345,0.4434752929110378,0.3354399611084103,0.23983465720229247,-0.09560530390611782,0.09560530390611782,1.0285,1.8490876092898505,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,24h_prior,highest-temperature-in-hong-kong-on-may-31-2026-23c,interior_bin,0,catboost_raw,0.002,0.0032320120688444,0.00198609731876862,0.001793711800687939,-0.000192385518080681,0.000192385518080681,1.007,1.8018569469213686,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,24h_prior,highest-temperature-in-hong-kong-on-may-31-2026-25c,interior_bin,0,catboost_raw,0.0015,0.011557562037921,0.001489572989076465,0.006414250619433531,0.004924677630357066,0.004924677630357066,1.007,1.8018569469213686,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,24h_prior,highest-temperature-in-hong-kong-on-may-31-2026-28c,interior_bin,0,catboost_raw,0.026,0.1555106916013592,0.02581926514399206,0.08630579240325538,0.06048652725926332,0.06048652725926332,1.007,1.8018569469213686,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,24h_prior,highest-temperature-in-hong-kong-on-may-31-2026-31c,interior_bin,0,catboost_raw,0.365,0.7095323699453151,0.3624627606752731,0.3937784135181285,0.03131565284285537,0.03131565284285537,1.007,1.8018569469213686,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,24h_prior,highest-temperature-in-hong-kong-on-may-31-2026-27c,interior_bin,0,catboost_raw,0.0055,0.0160630882482541,0.005461767626613705,0.008914741137302439,0.003452973510688734,0.003452973510688734,1.007,1.8018569469213686,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,24h_prior,highest-temperature-in-hong-kong-on-may-31-2026-29c,interior_bin,0,catboost_raw,0.045,0.2709511889915524,0.044687189672293945,0.15037330763382542,0.10568611796153148,0.10568611796153148,1.007,1.8018569469213686,11,1.0,1,-0.045,-0.045,proportional_positive_edge,0.1
2026-05-31,47,24h_prior,highest-temperature-in-hong-kong-on-may-31-2026-26c,interior_bin,0,catboost_raw,0.0035,0.0086723611320712,0.0034756703078450846,0.004813013123427303,0.0013373428155822181,0.0013373428155822181,1.007,1.8018569469213686,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,24h_prior,highest-temperature-in-hong-kong-on-may-31-2026-30c,interior_bin,1,catboost_raw,0.24,0.1620779985770068,0.23833167825223436,0.08995053622538202,-0.14838114202685235,0.14838114202685235,1.007,1.8018569469213686,11,0.0,0,0.0,0.0,proportional_positive_edge,0.1
2026-05-31,47,24h_prior,highest-temperature-in-hong-kong-on-may-31-2026-24c,interior_bin,0,catboost_raw,0.002,0.0094895023086663,0.00198609731876862,0.005266512596840693,0.0032804152780720732,0.0032804152780720732,1.007,1.8018569469213686,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,24h_prior,highest-temperature-in-hong-kong-on-may-31-2026-22corbelow,lower_tail_endpoint,0,catboost_raw,0.0015,0.0023260304477183,0.001489572989076465,0.001290907389564154,-0.0001986655995123111,0.0001986655995123111,1.007,1.8018569469213686,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,24h_prior,highest-temperature-in-hong-kong-on-may-31-2026-32corhigher,upper_tail,0,catboost_raw,0.315,0.4524441415626597,0.31281032770605766,0.25109881355215263,-0.06171151415390502,0.06171151415390502,1.007,1.8018569469213686,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,6h_prior,highest-temperature-in-hong-kong-on-may-31-2026-23c,interior_bin,0,catboost_raw,0.0005,0.0021498820237815,0.00048685491723466403,0.0008419069147024564,0.00035505199746779234,0.00035505199746779234,1.0270000000000001,2.553586371886853,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,6h_prior,highest-temperature-in-hong-kong-on-may-31-2026-25c,interior_bin,0,catboost_raw,0.0005,0.0088982874533083,0.00048685491723466403,0.003484623645893492,0.0029977687286588278,0.0029977687286588278,1.0270000000000001,2.553586371886853,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,6h_prior,highest-temperature-in-hong-kong-on-may-31-2026-28c,interior_bin,0,catboost_raw,0.0065,0.0550940580430492,0.006329113924050632,0.021575169201087183,0.015246055277036551,0.015246055277036551,1.0270000000000001,2.553586371886853,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,6h_prior,highest-temperature-in-hong-kong-on-may-31-2026-31c,interior_bin,0,catboost_raw,0.26,0.9536528171157594,0.2531645569620253,0.3734562604244721,0.12029170346244683,0.12029170346244683,1.0270000000000001,2.553586371886853,11,1.0,1,-0.26,-0.26,proportional_positive_edge,0.1
