event_date,hko_tmax_C,hko_tmax_min_C,hko_tmax_max_C,n_source_rows,hko_source_files,hko_value_conflict
2026-05-11,28.8,28.8,28.8,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-05-12,31.6,31.6,31.6,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-05-13,31.1,31.1,31.1,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-05-14,29.2,29.2,29.2,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-05-15,27.4,27.4,27.4,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-05-16,25.6,25.6,25.6,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-05-17,25.4,25.4,25.4,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,False
2026-05-18,26.3,26.3,26.3,1,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv,False
2026-05-19,26.4,26.4,26.4,3,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv,False
2026-05-20,30.7,30.7,30.7,3,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv,False
2026-05-21,31.5,31.5,31.5,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-05-22,31.4,31.4,31.4,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-05-23,30.3,30.3,30.3,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
