model,decision_rule,strategy,threshold,event_date,n_positions,total_stake,net_pnl,cumulative_net_pnl
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.1,2026-05-30,0,0.0,0.0,0.29500000000000004
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.1,2026-05-31,1,1.0,-0.03,0.26500000000000007
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.0,2026-05-22,4,1.0,-0.14993740131134303,-0.14993740131134303
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.0,2026-05-23,5,1.0,0.3028511388906671,0.15291373757932408
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.0,2026-05-24,3,1.0,-0.038538972614850966,0.11437476496447312
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.0,2026-05-25,4,0.9999999999999998,-0.05245739828705589,0.06191736667741723
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.0,2026-05-26,4,1.0,-0.10660741676245179,-0.044690050085034565
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.0,2026-05-27,4,0.9999999999999999,-0.11562481654968677,-0.16031486663472133
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.0,2026-05-28,3,1.0,-0.10221602111129639,-0.26253088774601774
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.0,2026-05-29,2,1.0,-0.09792099803587045,-0.3604518857818882
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.0,2026-05-30,2,1.0,0.3610963021715691,0.0006444163896808797
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.0,2026-05-31,5,1.0,0.3708329039887097,0.3714773203783906
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.02,2026-05-22,2,1.0,-0.1581534720485311,-0.1581534720485311
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.02,2026-05-23,3,1.0,0.31032358921458447,0.15217011716605336
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.02,2026-05-24,1,1.0,-0.02,0.13217011716605337
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.02,2026-05-25,2,0.9999999999999999,-0.05206668102774426,0.0801034361383091
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.02,2026-05-26,3,1.0000000000000002,-0.10662275700515553,-0.026519320866846427
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.02,2026-05-27,2,1.0,-0.11078682967813656,-0.137306150544983
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.02,2026-05-28,2,1.0,-0.10452739939397342,-0.2418335499389564
