target_date,decision_rule,forecast_daily_max_c,forecast_issue_time_utc,decision_time_utc,unique_local_hours,source_period,forecast_value_source,daily_forecast_column,daily_forecast_corroborated,information_time_verified,hko_daily_max_c,residual_c,has_certified_market,chronology_block,development_fold,outcome_may_influence_model_choice,used_in_final_fit_before_holdout,used_to_refit_before_external_test
2026-04-15,24h_prior,27.2,2026-04-13T06:00:00Z,2026-04-13T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.9,1.6999999999999993,True,development_validation,1,True,True,False
2026-04-15,6h_prior,27.6,2026-04-14T00:00:00Z,2026-04-14T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.9,1.2999999999999972,True,development_validation,1,True,True,False
2026-04-15,event_day_open,26.8,2026-04-14T06:00:00Z,2026-04-14T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.9,2.099999999999998,True,development_validation,1,True,True,False
2026-04-16,12h_prior,26.9,2026-04-14T18:00:00Z,2026-04-15T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,30.2,3.3000000000000007,True,development_validation,1,True,True,False
2026-04-16,24h_prior,27.0,2026-04-14T06:00:00Z,2026-04-14T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,30.2,3.1999999999999993,True,development_validation,1,True,True,False
2026-04-16,6h_prior,27.1,2026-04-15T00:00:00Z,2026-04-15T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,30.2,3.099999999999998,True,development_validation,1,True,True,False
2026-04-16,event_day_open,26.8,2026-04-15T06:00:00Z,2026-04-15T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,30.2,3.3999999999999986,True,development_validation,1,True,True,False
2026-04-17,12h_prior,27.9,2026-04-15T18:00:00Z,2026-04-16T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.0,0.10000000000000142,True,development_validation,1,True,True,False
2026-04-17,24h_prior,27.3,2026-04-15T06:00:00Z,2026-04-15T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.0,0.6999999999999993,True,development_validation,1,True,True,False
2026-04-17,6h_prior,27.3,2026-04-16T00:00:00Z,2026-04-16T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.0,0.6999999999999993,True,development_validation,1,True,True,False
2026-04-17,event_day_open,27.1,2026-04-16T06:00:00Z,2026-04-16T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.0,0.8999999999999986,True,development_validation,1,True,True,False
2026-04-18,12h_prior,28.6,2026-04-16T18:00:00Z,2026-04-17T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.5,-0.10000000000000142,True,development_validation,1,True,True,False
2026-04-18,24h_prior,27.9,2026-04-16T06:00:00Z,2026-04-16T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.5,0.6000000000000014,True,development_validation,1,True,True,False
2026-04-18,6h_prior,29.4,2026-04-17T00:00:00Z,2026-04-17T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.5,-0.8999999999999986,True,development_validation,1,True,True,False
2026-04-18,event_day_open,28.3,2026-04-17T06:00:00Z,2026-04-17T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.5,0.1999999999999993,True,development_validation,1,True,True,False
2026-04-19,12h_prior,27.1,2026-04-17T18:00:00Z,2026-04-18T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,30.0,2.8999999999999986,True,development_validation,1,True,True,False
2026-04-19,24h_prior,27.2,2026-04-17T06:00:00Z,2026-04-17T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,30.0,2.8000000000000007,True,development_validation,1,True,True,False
2026-04-19,6h_prior,27.2,2026-04-18T00:00:00Z,2026-04-18T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,30.0,2.8000000000000007,True,development_validation,1,True,True,False
2026-04-19,event_day_open,27.9,2026-04-18T06:00:00Z,2026-04-18T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,30.0,2.1000000000000014,True,development_validation,1,True,True,False
2026-04-20,12h_prior,27.0,2026-04-18T18:00:00Z,2026-04-19T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.4,1.3999999999999986,True,development_validation,1,True,True,False
2026-04-20,24h_prior,26.6,2026-04-18T06:00:00Z,2026-04-18T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.4,1.7999999999999972,True,development_validation,1,True,True,False
2026-04-20,6h_prior,27.2,2026-04-19T00:00:00Z,2026-04-19T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.4,1.1999999999999993,True,development_validation,1,True,True,False
2026-04-20,event_day_open,27.1,2026-04-19T06:00:00Z,2026-04-19T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.4,1.2999999999999972,True,development_validation,1,True,True,False
2026-04-21,12h_prior,25.4,2026-04-19T18:00:00Z,2026-04-20T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.9,3.5,True,development_validation,1,True,True,False
2026-04-21,24h_prior,25.9,2026-04-19T06:00:00Z,2026-04-19T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.9,3.0,True,development_validation,1,True,True,False
2026-04-21,6h_prior,26.4,2026-04-20T00:00:00Z,2026-04-20T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.9,2.5,True,development_validation,1,True,True,False
2026-04-21,event_day_open,27.0,2026-04-20T06:00:00Z,2026-04-20T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.9,1.8999999999999986,True,development_validation,1,True,True,False
2026-04-22,12h_prior,27.6,2026-04-20T18:00:00Z,2026-04-21T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.4,1.7999999999999972,True,development_validation,2,True,True,False
2026-04-22,24h_prior,27.4,2026-04-20T06:00:00Z,2026-04-20T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.4,2.0,True,development_validation,2,True,True,False
2026-04-22,6h_prior,27.7,2026-04-21T00:00:00Z,2026-04-21T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.4,1.6999999999999993,True,development_validation,2,True,True,False
2026-04-22,event_day_open,27.7,2026-04-21T06:00:00Z,2026-04-21T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.4,1.6999999999999993,True,development_validation,2,True,True,False
2026-04-23,12h_prior,26.2,2026-04-21T18:00:00Z,2026-04-22T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.0,2.8000000000000007,True,development_validation,2,True,True,False
2026-04-23,24h_prior,26.4,2026-04-21T06:00:00Z,2026-04-21T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.0,2.6000000000000014,True,development_validation,2,True,True,False
2026-04-23,6h_prior,26.7,2026-04-22T00:00:00Z,2026-04-22T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.0,2.3000000000000007,True,development_validation,2,True,True,False
2026-04-23,event_day_open,25.7,2026-04-22T06:00:00Z,2026-04-22T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.0,3.3000000000000007,True,development_validation,2,True,True,False
2026-04-24,12h_prior,21.2,2026-04-22T18:00:00Z,2026-04-23T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,23.7,2.5,True,development_validation,2,True,True,False
