pipeline,model,decision_rule,strategy,threshold,robustness_cost,staleness_rule,staleness_quantile,max_staleness_hours,unrestricted_staleness,n_books,n_active_books,n_positions,n_dates,total_net_pnl,mean_net_pnl_per_active_book,positive_book_rate
21b,ecmwf_bias_fixed_sigma,event_day_open,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,0,0,0,0.0,,
21b,ecmwf_bias_fixed_sigma,event_day_open,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,0,0,0,0.0,,
21b,ecmwf_bias_fixed_sigma,event_day_open,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.2055,-0.0685,0.0
21b,ecmwf_bias_fixed_sigma,event_day_open,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.2055,-0.0685,0.0
21b,ecmwf_bias_fixed_sigma,event_day_open,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,1,1,1,-0.0665,-0.0665,0.0
21b,ecmwf_raw,12h_prior,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,1,5,1,0.0412434779135519,0.0412434779135519,1.0
21b,ecmwf_raw,12h_prior,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,1,5,1,0.0412434779135519,0.0412434779135519,1.0
21b,ecmwf_raw,12h_prior,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,2,5,2,-0.0934323836013391,-0.04671619180066955,0.0
21b,ecmwf_raw,12h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.14800000000000002,-0.04933333333333334,0.0
21b,ecmwf_raw,12h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.14800000000000002,-0.04933333333333334,0.0
21b,ecmwf_raw,12h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.14800000000000002,-0.04933333333333334,0.0
21b,ecmwf_raw,24h_prior,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,0,0,0,0.0,,
21b,ecmwf_raw,24h_prior,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,0,0,0,0.0,,
21b,ecmwf_raw,24h_prior,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,3,6,3,-0.1439319694338161,-0.047977323144605365,0.0
21b,ecmwf_raw,24h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.19999999999999998,-0.06666666666666667,0.0
21b,ecmwf_raw,24h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.19999999999999998,-0.06666666666666667,0.0
21b,ecmwf_raw,24h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.19999999999999998,-0.06666666666666667,0.0
21b,ecmwf_raw,6h_prior,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,14,3,0.027170102823061607,0.009056700941020535,0.3333333333333333
21b,ecmwf_raw,6h_prior,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,13,3,0.025264823131371905,0.008421607710457302,0.3333333333333333
21b,ecmwf_raw,6h_prior,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,3,9,3,-0.08895779570210721,-0.02965259856736907,0.0
21b,ecmwf_raw,6h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.08099999999999999,-0.026999999999999996,0.0
21b,ecmwf_raw,6h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.08099999999999999,-0.026999999999999996,0.0
21b,ecmwf_raw,6h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.08099999999999999,-0.026999999999999996,0.0
21b,ecmwf_raw,event_day_open,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,0,0,0,0.0,,
21b,ecmwf_raw,event_day_open,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,0,0,0,0.0,,
21b,ecmwf_raw,event_day_open,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,0,0,0,0.0,,
21b,ecmwf_raw,event_day_open,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.0405,-0.0135,0.0
21b,ecmwf_raw,event_day_open,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.0405,-0.0135,0.0
21b,ecmwf_raw,event_day_open,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.0405,-0.0135,0.0
21b,catboost_platt,12h_prior,proportional_positive_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,10,2,7,2,-0.1951071757049312,-0.0975535878524656,0.0
21b,catboost_platt,12h_prior,proportional_positive_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,10,5,7,5,-0.6505792288824183,-0.13011584577648366,0.0
21b,catboost_platt,12h_prior,proportional_positive_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,10,4,4,4,-0.5899999999999999,-0.14750000000000002,0.0
21b,catboost_platt,12h_prior,single_best_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,10,6,6,6,-0.7549999999999999,-0.12583333333333335,0.0
21b,catboost_platt,12h_prior,single_best_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,10,6,6,6,-0.7549999999999999,-0.12583333333333335,0.0
21b,catboost_platt,12h_prior,single_best_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,10,4,4,4,-0.5899999999999999,-0.14750000000000002,0.0
21b,catboost_platt,24h_prior,proportional_positive_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,10,1,3,1,-0.018307971890738,-0.018307971890738,0.0
21b,catboost_platt,24h_prior,proportional_positive_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,10,1,2,1,-0.0565814490557516,-0.0565814490557516,0.0
21b,catboost_platt,24h_prior,proportional_positive_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,10,1,1,1,-0.045,-0.045,0.0
21b,catboost_platt,24h_prior,single_best_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,10,5,5,5,-0.3795,-0.0759,0.0
21b,catboost_platt,24h_prior,single_best_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,10,2,2,2,-0.125,-0.0625,0.0
21b,catboost_platt,24h_prior,single_best_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,10,1,1,1,-0.045,-0.045,0.0
21b,catboost_platt,6h_prior,proportional_positive_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,10,3,18,3,-0.038108793030123406,-0.012702931010041135,0.3333333333333333
21b,catboost_platt,6h_prior,proportional_positive_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,10,4,5,4,-0.43024103449231244,-0.10756025862307811,0.0
