n_contracts_common,expected_n_contracts,n_yes,book_ready,book_issue,market_total_book_probability,ecmwf_total_book_probability,market_abs_book_probability_error,ecmwf_abs_book_probability_error,market_winning_probability_raw,ecmwf_winning_probability_raw,market_winning_probability_normalised,ecmwf_winning_probability_normalised,market_normalised_categorical_log_score,ecmwf_normalised_categorical_log_score,market_normalised_multiclass_brier,ecmwf_normalised_multiclass_brier,delta_norm_log_market_minus_ecmwf,delta_norm_brier_market_minus_ecmwf,event_date,decision_rule
11,11,1.0,True,,1.0614999999999999,0.9999999999999997,0.06149999999999989,3.3306690738754696e-16,0.31,0.2588905185378326,0.29203956665096564,0.25889051853783274,1.2308659836641187,1.351350014997094,0.6792434829355893,0.6668858004804676,-0.12048403133297536,0.012357682455121699,2026-05-02,12h_prior
11,11,1.0,True,,1.0045000000000002,0.9999999999999994,0.0045000000000001705,5.551115123125783e-16,0.265,0.0840955945149676,0.26381284221005474,0.08409559451496765,1.332515358268767,2.4758010972639313,0.7182249315610861,1.0164665230069452,-1.1432857389951643,-0.29824159144585904,2026-04-25,12h_prior
11,11,1.0,True,,1.0135,0.9999999999999993,0.013500000000000068,6.661338147750939e-16,0.365,0.1205246531526716,0.36013813517513565,0.12052465315267168,1.0212676123095632,2.115900956498602,0.558352716862076,0.943641236400336,-1.0946333441890388,-0.38528851953826004,2026-04-22,12h_prior
11,11,1.0,True,,1.072,0.9999999999999994,0.07200000000000006,5.551115123125783e-16,0.115,0.0253249029511799,0.10727611940298508,0.025324902951179912,2.232349213267497,3.6759670609897803,1.0777325476163955,1.1340079061345205,-1.4436178477222832,-0.05627535851812504,2026-04-23,12h_prior
11,11,1.0,True,,1.01,0.9999999999999996,0.010000000000000009,4.440892098500626e-16,0.82,0.3445782583896755,0.8118811881188118,0.34457825838967565,0.20840126957700641,1.065434049189577,0.05795608273698658,0.5621521034899483,-0.8570327796125706,-0.5041960207529617,2026-04-30,12h_prior
11,11,1.0,True,,0.9239999999999999,0.9999999999999996,0.07600000000000007,4.440892098500626e-16,0.46,0.0840955945149676,0.4978354978354979,0.08409559451496765,0.6974855821585433,2.4758010972639313,0.3246548274957365,1.0183397258438127,-1.778315515105388,-0.6936848983480762,2026-04-24,12h_prior
11,11,1.0,True,,1.0175,0.9999999999999994,0.01750000000000007,5.551115123125783e-16,0.115,0.0613738721449523,0.11302211302211301,0.06137387214495234,2.1801717889535,2.79077106949329,1.1158253898303039,1.0619106239140614,-0.6105992805397902,0.053914765916242446,2026-04-28,12h_prior
11,11,1.0,True,,1.032,0.9999999999999994,0.03200000000000003,5.551115123125783e-16,0.075,0.016247944828113,0.07267441860465115,0.01624794482811301,2.6217658325051976,4.119788850320785,1.1762030714800793,1.1521624785477405,-1.4980230178155876,0.024040592932338845,2026-04-29,12h_prior
11,11,1.0,True,,1.0545,0.9999999999999993,0.05449999999999999,6.661338147750939e-16,0.365,0.0430939936189997,0.346135609293504,0.04309399361899973,1.0609246463363378,3.1443716507717703,0.5482233000388276,1.0984691119229772,-2.0834470044354325,-0.5502458118841497,2026-04-26,12h_prior
11,11,1.0,True,,1.076,0.9999999999999996,0.07600000000000007,4.440892098500626e-16,0.365,0.0926068302294892,0.33921933085501854,0.09260683022948925,1.0811083871392384,2.3793923794725433,0.5858231644117687,0.9994436523336669,-1.298283992333305,-0.4136204879218982,2026-05-01,12h_prior
