model,scope,scope_value,series,lag_days,autocorrelation,dates
rbf,decision_rule,event_day_open,squared_standardised_residual,2,0.0474219350002483,365
rbf,decision_rule,event_day_open,squared_standardised_residual,3,0.0929770525727182,365
rbf,decision_rule,event_day_open,squared_standardised_residual,4,0.0232786843939286,365
rbf,decision_rule,event_day_open,squared_standardised_residual,5,0.0597491829160482,365
rbf,decision_rule,event_day_open,squared_standardised_residual,6,-0.0086480168824086,365
rbf,decision_rule,event_day_open,squared_standardised_residual,7,0.0379659979000571,365
rbf,decision_rule,event_day_open,squared_standardised_residual,8,-0.0372032416981919,365
rbf,decision_rule,event_day_open,squared_standardised_residual,9,0.0272993420215314,365
rbf,decision_rule,event_day_open,squared_standardised_residual,10,0.0553736694455985,365
rbf,decision_rule,event_day_open,squared_standardised_residual,11,0.0057831805363279,365
rbf,decision_rule,event_day_open,squared_standardised_residual,12,-0.0016324625821807,365
rbf,decision_rule,event_day_open,squared_standardised_residual,13,0.0572064434358741,365
rbf,decision_rule,event_day_open,squared_standardised_residual,14,0.0766454181050605,365
matern32,overall,all,standardised_residual,1,0.5064494077518977,365
matern32,overall,all,standardised_residual,2,0.3252355069120468,365
matern32,overall,all,standardised_residual,3,0.2940884684389689,365
matern32,overall,all,standardised_residual,4,0.2482871789417537,365
matern32,overall,all,standardised_residual,5,0.231955797478411,365
matern32,overall,all,standardised_residual,6,0.2334669720591754,365
matern32,overall,all,standardised_residual,7,0.1619679817522792,365
matern32,overall,all,standardised_residual,8,0.1579836096391587,365
matern32,overall,all,standardised_residual,9,0.1585095466170857,365
matern32,overall,all,standardised_residual,10,0.1488824347307955,365
matern32,overall,all,standardised_residual,11,0.1389438154110338,365
matern32,overall,all,standardised_residual,12,0.1836286072807863,365
matern32,overall,all,standardised_residual,13,0.2195909381077256,365
matern32,overall,all,standardised_residual,14,0.1519733851019019,365
matern32,overall,all,absolute_standardised_residual,1,0.2402410763798931,365
matern32,overall,all,absolute_standardised_residual,2,0.149565612706595,365
matern32,overall,all,absolute_standardised_residual,3,0.1615809373173782,365
matern32,overall,all,absolute_standardised_residual,4,0.0275294703419957,365
matern32,overall,all,absolute_standardised_residual,5,0.0062046901583271,365
matern32,overall,all,absolute_standardised_residual,6,0.0094001082930445,365
matern32,overall,all,absolute_standardised_residual,7,0.0598252653131945,365
matern32,overall,all,absolute_standardised_residual,8,-0.0456959846135203,365
matern32,overall,all,absolute_standardised_residual,9,0.0519200739599872,365
matern32,overall,all,absolute_standardised_residual,10,0.0549446477928856,365
matern32,overall,all,absolute_standardised_residual,11,-0.004272512858819,365
matern32,overall,all,absolute_standardised_residual,12,0.035516895904329,365
matern32,overall,all,absolute_standardised_residual,13,0.0432372268658543,365
matern32,overall,all,absolute_standardised_residual,14,0.120588568811642,365
matern32,overall,all,squared_standardised_residual,1,0.229758672647702,365
matern32,overall,all,squared_standardised_residual,2,0.1357137865289528,365
matern32,overall,all,squared_standardised_residual,3,0.1230699543185455,365
matern32,overall,all,squared_standardised_residual,4,0.0528314311587988,365
matern32,overall,all,squared_standardised_residual,5,0.0331931925342115,365
matern32,overall,all,squared_standardised_residual,6,-0.0034934735381449,365
matern32,overall,all,squared_standardised_residual,7,0.0480178114622605,365
matern32,overall,all,squared_standardised_residual,8,-0.0632824667092886,365
matern32,overall,all,squared_standardised_residual,9,0.0251778214263434,365
matern32,overall,all,squared_standardised_residual,10,0.0229666467323381,365
matern32,overall,all,squared_standardised_residual,11,-0.0270267471045041,365
matern32,overall,all,squared_standardised_residual,12,0.0047183761241293,365
matern32,overall,all,squared_standardised_residual,13,0.0641846132647918,365
