scope_type,scope_value,contrast,model,benchmark,primary,dates,metric,point_estimate,bootstrap_method,block_parameter_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
overall,all_dates,matern_minus_static,matern,static,True,365,mean_improvement_c,0.04841455108832304,stationary_bootstrap,3.0,0.017549871555924933,0.0807918914526281,10000,20261202,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,median_loss_difference_c,-0.0147809350191217,stationary_bootstrap,3.0,-0.035748745225375744,0.0014382784212838562,10000,20261202,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,model_better_fraction,0.5589041095890411,stationary_bootstrap,3.0,0.4821917808219178,0.6301369863013698,10000,20261202,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,mean_loss_difference_c,-0.014221469480205487,stationary_bootstrap,3.0,-0.02367731522535273,-0.005255819770494869,10000,20261202,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,mean_improvement_c,0.014221469480205487,stationary_bootstrap,3.0,0.0052558197704948685,0.02367731522535273,10000,20261202,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,median_loss_difference_c,-0.007223284425000087,stationary_bootstrap,3.0,-0.018367582075,0.0009251421250000003,10000,20261202,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,model_better_fraction,0.5671232876712329,stationary_bootstrap,3.0,0.4904109589041096,0.6383561643835617,10000,20261202,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,mean_loss_difference_c,-0.8681234630680137,stationary_bootstrap,3.0,-1.0565499404553602,-0.6784828784893854,10000,20261202,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,mean_improvement_c,0.8681234630680137,stationary_bootstrap,3.0,0.6784828784893854,1.0565499404553602,10000,20261202,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,median_loss_difference_c,-0.9972931454749986,stationary_bootstrap,3.0,-1.3358173862249991,-0.5876904230499986,10000,20261202,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,model_better_fraction,0.7041095890410959,stationary_bootstrap,3.0,0.6410958904109589,0.7671232876712328,10000,20261202,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,mean_loss_difference_c,-0.8823449325482193,stationary_bootstrap,3.0,-1.0693683779817025,-0.6956021644814128,10000,20261202,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,mean_improvement_c,0.8823449325482193,stationary_bootstrap,3.0,0.6956021644814128,1.0693683779817023,10000,20261202,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,median_loss_difference_c,-0.9890612448000002,stationary_bootstrap,3.0,-1.3230218739000024,-0.5864805523500003,10000,20261202,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,model_better_fraction,0.7123287671232876,stationary_bootstrap,3.0,0.6519863013698636,0.7726027397260274,10000,20261202,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,mean_loss_difference_c,-0.8339303814598961,stationary_bootstrap,5.0,-1.0496828567002308,-0.6091179279433262,10000,20261302,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,mean_improvement_c,0.8339303814598961,stationary_bootstrap,5.0,0.6091179279433262,1.0496828567002308,10000,20261302,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,median_loss_difference_c,-1.0142907337261,stationary_bootstrap,5.0,-1.3838004781266755,-0.5321154309553714,10000,20261302,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,model_better_fraction,0.7041095890410959,stationary_bootstrap,5.0,0.6273972602739726,0.7753424657534247,10000,20261302,settlement_date
