target_date,contrast_order,contrast,model,benchmark,primary,interpretation,model_date_crps_c,benchmark_date_crps_c,loss_difference_c,improvement_c,validation_block,chronological_index,position_within_block,tail,tail_rank
2025-10-02,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,0.6995760683,3.3999999999999995,-2.7004239316999996,2.7004239316999996,3,201,19,largest_model_favouring_improvements,8
2025-10-01,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,0.58710931275,3.2750000000000004,-2.6878906872500004,2.6878906872500004,3,200,18,largest_model_favouring_improvements,9
2025-10-03,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,0.6431048343,3.3249999999999984,-2.6818951656999985,2.6818951656999985,3,202,20,largest_model_favouring_improvements,10
2025-09-23,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,1.794309856,0.2749999999999985,1.5193098560000013,-1.5193098560000013,3,192,10,largest_benchmark_favouring_deteriorations,1
2025-03-18,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,3.126474759875,1.925,1.2014747598749997,-1.2014747598749997,1,3,3,largest_benchmark_favouring_deteriorations,2
2025-04-01,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,1.605739823075,0.4749999999999987,1.1307398230750012,-1.1307398230750012,1,17,17,largest_benchmark_favouring_deteriorations,3
2025-04-04,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,1.252646747,0.1250000000000009,1.1276467469999991,-1.1276467469999991,1,20,20,largest_benchmark_favouring_deteriorations,4
2025-09-22,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,1.33033143795,0.325000000000001,1.005331437949999,-1.005331437949999,3,191,9,largest_benchmark_favouring_deteriorations,5
2025-10-20,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,1.33950305965,0.3500000000000005,0.9895030596499994,-0.9895030596499994,3,219,37,largest_benchmark_favouring_deteriorations,6
2025-11-27,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,1.07164439085,0.1250000000000008,0.9466443908499992,-0.9466443908499992,3,257,75,largest_benchmark_favouring_deteriorations,7
2025-12-13,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,1.2435010644750002,0.3499999999999978,0.8935010644750023,-0.8935010644750023,3,273,91,largest_benchmark_favouring_deteriorations,8
2025-11-01,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,1.34169691755,0.4500000000000002,0.8916969175499998,-0.8916969175499998,3,231,49,largest_benchmark_favouring_deteriorations,9
2025-04-05,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,3.21090326075,2.325,0.8859032607499997,-0.8859032607499997,1,21,21,largest_benchmark_favouring_deteriorations,10
2025-09-14,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,0.504814773975,4.049999999999999,-3.5451852260249987,3.5451852260249987,3,183,1,largest_model_favouring_improvements,1
2025-09-16,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,0.798357084025,4.300000000000004,-3.501642915975004,3.501642915975004,3,185,3,largest_model_favouring_improvements,2
2025-09-15,6,matern_minus_raw,matern,raw,False,Total selected-model gain relative to deterministic point forecast,1.005533028625,4.374999999999998,-3.3694669713749983,3.3694669713749983,3,184,2,largest_model_favouring_improvements,3
