model,scope_type,scope_value,nominal_probability,empirical_probability,calibration_error,absolute_calibration_error,squared_calibration_error,rows,dates
rbf,decision_rule,6h_prior,0.26,0.3150684931506849,0.055068493150684905,0.055068493150684905,0.00303253893788703,365,365
rbf,decision_rule,6h_prior,0.27,0.3287671232876712,0.0587671232876712,0.0587671232876712,0.0034535747795083464,365,365
rbf,decision_rule,6h_prior,0.28,0.336986301369863,0.05698630136986299,0.05698630136986299,0.0032474385438168484,365,365
rbf,decision_rule,6h_prior,0.29,0.3452054794520548,0.05520547945205484,0.05520547945205484,0.003047644961531249,365,365
rbf,decision_rule,6h_prior,0.3,0.3506849315068493,0.05068493150684933,0.05068493150684933,0.0025689622818540077,365,365
rbf,decision_rule,6h_prior,0.31,0.3643835616438356,0.05438356164383562,0.05438356164383562,0.002957571777068869,365,365
rbf,decision_rule,6h_prior,0.32,0.3863013698630137,0.06630136986301371,0.06630136986301371,0.0043958716457121435,365,365
rbf,decision_rule,6h_prior,0.33,0.38904109589041097,0.059041095890410955,0.059041095890410955,0.0034858510039407014,365,365
rbf,decision_rule,6h_prior,0.34,0.40273972602739727,0.06273972602739725,0.06273972602739725,0.003936273221992867,365,365
rbf,decision_rule,6h_prior,0.35,0.40273972602739727,0.05273972602739729,0.05273972602739729,0.0027814787014449273,365,365
rbf,decision_rule,6h_prior,0.36,0.410958904109589,0.05095890410958903,0.05095890410958903,0.0025968099080502897,365,365
rbf,decision_rule,6h_prior,0.37,0.4191780821917808,0.049178082191780825,0.049178082191780825,0.0024184837680615505,365,365
rbf,decision_rule,6h_prior,0.38,0.4273972602739726,0.04739726027397262,0.04739726027397262,0.002246500281478703,365,365
rbf,decision_rule,6h_prior,0.39,0.4383561643835616,0.048356164383561606,0.048356164383561606,0.002338318633890032,365,365
rbf,decision_rule,6h_prior,0.4,0.4520547945205479,0.0520547945205479,0.0520547945205479,0.0027097016325764636,365,365
rbf,decision_rule,6h_prior,0.41,0.4575342465753425,0.0475342465753425,0.0475342465753425,0.00225950459748546,365,365
rbf,decision_rule,6h_prior,0.42,0.4657534246575342,0.045753424657534236,0.045753424657534236,0.002093375867892662,365,365
rbf,decision_rule,6h_prior,0.43,0.4712328767123288,0.04123287671232878,0.04123287671232878,0.0017001501219741052,365,365
rbf,decision_rule,6h_prior,0.44,0.4794520547945205,0.03945205479452052,0.03945205479452052,0.0015564646275098494,365,365
rbf,decision_rule,6h_prior,0.45,0.4849315068493151,0.034931506849315064,0.034931506849315064,0.0012202101707637452,365,365
rbf,decision_rule,6h_prior,0.46,0.4876712328767123,0.027671232876712304,0.027671232876712304,0.0007656971289172439,365,365
