model,scope_type,scope_value,dates,nominal_coverage,metric,point_estimate,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
rbf,decision_rule,event_day_open,365,0.5,empirical_coverage,0.4520547945205479,circular_moving_block,14.0,0.39452054794520547,0.5123287671232877,10000,20265203,settlement_date
rbf,decision_rule,event_day_open,365,0.5,mean_interval_width_c,1.8469898341598852,circular_moving_block,14.0,1.825007473385238,1.867220914235548,10000,20265203,settlement_date
rbf,decision_rule,event_day_open,365,0.8,empirical_coverage,0.7671232876712328,circular_moving_block,14.0,0.7068493150684931,0.8246575342465754,10000,20265203,settlement_date
rbf,decision_rule,event_day_open,365,0.8,mean_interval_width_c,3.50933830028469,circular_moving_block,14.0,3.4675711290905817,3.5477779835209273,10000,20265203,settlement_date
rbf,decision_rule,event_day_open,365,0.9,empirical_coverage,0.8958904109589041,circular_moving_block,14.0,0.8602739726027397,0.9315068493150684,10000,20265203,settlement_date
rbf,decision_rule,event_day_open,365,0.9,mean_interval_width_c,4.504186945431264,circular_moving_block,14.0,4.450579361567135,4.553523744737598,10000,20265203,settlement_date
matern,overall,all_dates,365,0.5,empirical_coverage,0.4602739726027397,ordinary_date,,0.4178082191780822,0.5027397260273972,10000,20265803,settlement_date
matern,overall,all_dates,365,0.5,mean_interval_width_c,1.9624239636103509,ordinary_date,,1.9539917069484987,1.9707128535967628,10000,20265803,settlement_date
matern,overall,all_dates,365,0.8,empirical_coverage,0.7828767123287671,ordinary_date,,0.7472602739726028,0.8191780821917808,10000,20265803,settlement_date
matern,overall,all_dates,365,0.8,mean_interval_width_c,3.728666747116567,ordinary_date,,3.7126451964214886,3.7444158966560783,10000,20265803,settlement_date
matern,overall,all_dates,365,0.9,empirical_coverage,0.8808219178082192,ordinary_date,,0.8527397260273972,0.9089041095890411,10000,20265803,settlement_date
matern,overall,all_dates,365,0.9,mean_interval_width_c,4.785691959325664,ordinary_date,,4.765128521631313,4.805905773921937,10000,20265803,settlement_date
matern,overall,all_dates,365,0.5,empirical_coverage,0.4602739726027397,circular_moving_block,3.0,0.4136986301369863,0.5061643835616438,10000,20265903,settlement_date
matern,overall,all_dates,365,0.5,mean_interval_width_c,1.9624239636103509,circular_moving_block,3.0,1.9483819619922538,1.9759784532609834,10000,20265903,settlement_date
matern,overall,all_dates,365,0.8,empirical_coverage,0.7828767123287671,circular_moving_block,3.0,0.7376712328767123,0.8253424657534246,10000,20265903,settlement_date
matern,overall,all_dates,365,0.8,mean_interval_width_c,3.728666747116567,circular_moving_block,3.0,3.701986506013086,3.754420700274307,10000,20265903,settlement_date
matern,overall,all_dates,365,0.9,empirical_coverage,0.8808219178082192,circular_moving_block,3.0,0.8452054794520548,0.913013698630137,10000,20265903,settlement_date
matern,overall,all_dates,365,0.9,mean_interval_width_c,4.785691959325664,circular_moving_block,3.0,4.751448240596848,4.818746800347103,10000,20265903,settlement_date
matern,overall,all_dates,365,0.5,empirical_coverage,0.4602739726027397,circular_moving_block,5.0,0.410958904109589,0.510958904109589,10000,20266003,settlement_date
matern,overall,all_dates,365,0.5,mean_interval_width_c,1.9624239636103509,circular_moving_block,5.0,1.9442401217839067,1.9798118225867585,10000,20266003,settlement_date
matern,overall,all_dates,365,0.8,empirical_coverage,0.7828767123287671,circular_moving_block,5.0,0.7335616438356164,0.8287671232876712,10000,20266003,settlement_date
matern,overall,all_dates,365,0.8,mean_interval_width_c,3.728666747116567,circular_moving_block,5.0,3.6941168804158178,3.7617042215721876,10000,20266003,settlement_date
matern,overall,all_dates,365,0.9,empirical_coverage,0.8808219178082192,circular_moving_block,5.0,0.8417808219178082,0.9164383561643835,10000,20266003,settlement_date
matern,overall,all_dates,365,0.9,mean_interval_width_c,4.785691959325664,circular_moving_block,5.0,4.741347685492821,4.828095098726905,10000,20266003,settlement_date
matern,overall,all_dates,365,0.5,empirical_coverage,0.4602739726027397,circular_moving_block,7.0,0.41027397260273973,0.510958904109589,10000,20266103,settlement_date
