model,scope,scope_value,stratification_variable,quartile,rows,dates,variable_minimum,variable_maximum,variable_mean,mean_squared_standardised_residual,mean_absolute_standardised_residual,central_90_empirical_coverage,mean_crps_c
matern32,decision_rule,24h_prior,predictive_standard_deviation_c,Q3,91,91,1.5184757736,1.5584630563,1.5447716982923079,1.3403748066611654,0.9502856288382355,0.7802197802197802,1.0341136882098902
matern32,decision_rule,24h_prior,predictive_standard_deviation_c,Q4,91,91,1.5584630568,1.5795672901,1.5742039829197803,0.933929873246396,0.7901596515487441,0.9120879120879121,0.8652500928505495
matern32,decision_rule,24h_prior,temperature_predictive_mean_c,Q1,92,92,16.5737447997,23.9094596255,21.262182060979345,1.177385076163933,0.8259621189259636,0.9021739130434783,0.9073969870815217
matern32,decision_rule,24h_prior,temperature_predictive_mean_c,Q2,91,91,23.9978191825,28.0994351458,26.22157345038022,1.2597621113110675,0.9301135506490054,0.8461538461538461,0.9816098886087913
matern32,decision_rule,24h_prior,temperature_predictive_mean_c,Q3,91,91,28.1021363591,31.0413719653,29.734366664148354,1.1075781330929966,0.8627155890880307,0.8791208791208791,0.9020972443395605
matern32,decision_rule,24h_prior,temperature_predictive_mean_c,Q4,91,91,31.0469300433,35.2512616506,32.2725031872978,1.0734249160148104,0.8762994557525191,0.8571428571428571,0.8995996188934066
matern32,decision_rule,24h_prior,forecast_daily_max_c,Q1,92,92,15.1,22.5,19.81304347826087,1.1964105983094837,0.8419075906248388,0.9021739130434783,0.919015623151087
matern32,decision_rule,24h_prior,forecast_daily_max_c,Q2,91,91,22.6,26.6,24.76813186813187,1.2283526823138766,0.9055161709682383,0.8461538461538461,0.9638525873417583
matern32,decision_rule,24h_prior,forecast_daily_max_c,Q3,91,91,26.6,29.4,28.2021978021978,1.1139306311348747,0.870833954206419,0.8791208791208791,0.9051585789758242
matern32,decision_rule,24h_prior,forecast_daily_max_c,Q4,91,91,29.5,33.8,30.636263736263736,1.0792472531526434,0.8766577736522985,0.8571428571428571,0.9025492721351649
matern32,decision_rule,12h_prior,predictive_standard_deviation_c,Q1,92,92,1.2378262275,1.4309891453,1.355415857272826,1.1127606356775248,0.811457318706533,0.8804347826086957,0.7901929428402173
matern32,decision_rule,12h_prior,predictive_standard_deviation_c,Q2,91,91,1.4316933771,1.4746000569,1.4595170384637361,1.0722021722910993,0.7909656242718669,0.8791208791208791,0.837638571167033
