model,scope,scope_value,bin_number,lower_bound,upper_bound,count,proportion,uniform_reference_proportion,proportion_error
matern32,validation_block,fold_01,6,0.5,0.6000000000000001,41,0.11263736263736264,0.1,0.012637362637362634
matern32,validation_block,fold_01,7,0.6000000000000001,0.7000000000000001,39,0.10714285714285714,0.1,0.007142857142857131
matern32,validation_block,fold_01,8,0.7000000000000001,0.8,47,0.12912087912087913,0.1,0.02912087912087913
matern32,validation_block,fold_01,9,0.8,0.9,57,0.1565934065934066,0.1,0.05659340659340659
matern32,validation_block,fold_01,10,0.9,1.0,47,0.12912087912087913,0.1,0.02912087912087913
matern32,validation_block,fold_02,1,0.0,0.1,15,0.04120879120879121,0.1,-0.0587912087912088
matern32,validation_block,fold_02,2,0.1,0.2,16,0.04395604395604396,0.1,-0.056043956043956046
matern32,validation_block,fold_02,3,0.2,0.30000000000000004,27,0.07417582417582418,0.1,-0.02582417582417583
matern32,validation_block,fold_02,4,0.30000000000000004,0.4,22,0.06043956043956044,0.1,-0.039560439560439566
matern32,validation_block,fold_02,5,0.4,0.5,25,0.06868131868131869,0.1,-0.03131868131868132
matern32,validation_block,fold_02,6,0.5,0.6000000000000001,35,0.09615384615384616,0.1,-0.0038461538461538464
matern32,validation_block,fold_02,7,0.6000000000000001,0.7000000000000001,31,0.08516483516483517,0.1,-0.014835164835164838
matern32,validation_block,fold_02,8,0.7000000000000001,0.8,56,0.15384615384615385,0.1,0.05384615384615385
matern32,validation_block,fold_02,9,0.8,0.9,58,0.15934065934065933,0.1,0.059340659340659324
matern32,validation_block,fold_02,10,0.9,1.0,79,0.21703296703296704,0.1,0.11703296703296703
matern32,validation_block,fold_03,1,0.0,0.1,70,0.19230769230769232,0.1,0.09230769230769231
matern32,validation_block,fold_03,2,0.1,0.2,68,0.18681318681318682,0.1,0.08681318681318681
matern32,validation_block,fold_03,3,0.2,0.30000000000000004,40,0.10989010989010989,0.1,0.009890109890109883
matern32,validation_block,fold_03,4,0.30000000000000004,0.4,41,0.11263736263736264,0.1,0.012637362637362634
matern32,validation_block,fold_03,5,0.4,0.5,34,0.09340659340659341,0.1,-0.006593406593406598
