gp_weight,market_weight,binary_brier,binary_log,categorical_log,multiclass_brier,development_dates,development_books,probability_pool
0.592,0.40800000000000003,0.06460267717220841,0.20724003101147756,1.4536847377427904,0.7106294488942925,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.593,0.40700000000000003,0.06460292963921119,0.20724364194794098,1.4537238740603189,0.7106322260313228,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.594,0.406,0.06460319732039695,0.20724729617556123,1.4537633784364943,0.7106351705243664,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.595,0.405,0.06460348021576573,0.2072509936829932,1.4538032507710723,0.7106382823734229,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.596,0.404,0.06460377832531752,0.20725473445908305,1.4538434909658327,0.7106415615784927,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.597,0.403,0.06460409164905234,0.2072585184928674,1.4538840989245776,0.7106450081395757,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.598,0.402,0.06460442018697014,0.2072623457735737,1.4539250745531258,0.7106486220566716,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.599,0.401,0.06460476393907098,0.20726621629061956,1.4539664177593152,0.7106524033297807,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.6,0.4,0.06460512290535482,0.20727013003361286,1.4540081284529942,0.7106563519589028,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.601,0.399,0.06460549708582165,0.2072740869923511,1.454050206546025,0.7106604679440383,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.602,0.398,0.06460588648047154,0.20727808715682156,1.454092651952277,0.7106647512851868,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.603,0.397,0.0646062910893044,0.2072821305172009,1.4541354645876277,0.7106692019823483,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.604,0.396,0.06460671091232027,0.207286217063855,1.4541786443699574,0.7106738200355229,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.605,0.395,0.06460714594951916,0.20729034678733868,1.4542221912191493,0.7106786054447108,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.606,0.394,0.06460759620090108,0.20729451967839568,1.4542661050570866,0.7106835582099117,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.607,0.393,0.06460806166646596,0.20729873572795812,1.4543103858076496,0.7106886783311257,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.608,0.392,0.0646085423462139,0.2073029949271469,1.454355033396715,0.7106939658083528,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.609,0.391,0.06460903824014483,0.20730729726727062,1.4544000477521528,0.7106994206415932,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.61,0.39,0.06460954934825877,0.20731164273982644,1.4544454288038253,0.7107050428308465,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.611,0.389,0.06461007567055572,0.20731603133649903,1.4544911764835842,0.710710832376113,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.612,0.388,0.06461061720703569,0.20732046304916088,1.4545372907252694,0.7107167892773927,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.613,0.387,0.06461117395769868,0.20732493786987202,1.454583771464707,0.7107229135346854,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.614,0.386,0.06461174592254468,0.2073294557908798,1.4546306186397076,0.7107292051479914,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.615,0.385,0.06461233310157366,0.20733401680461883,1.4546778321900653,0.7107356641173103,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.616,0.384,0.06461293549478568,0.2073386209037106,1.4547254120575552,0.7107422904426425,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.617,0.383,0.06461355310218068,0.2073432680809638,1.4547733581859312,0.7107490841239876,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.618,0.382,0.06461418592375873,0.20734795832937356,1.454821670520926,0.7107560451613458,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.619,0.381,0.06461483395951974,0.20735269164212186,1.4548703490102501,0.7107631735547173,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.62,0.38,0.06461549720946382,0.20735746801257715,1.4549193936035878,0.7107704693041019,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.621,0.379,0.06461617567359086,0.20736228743429416,1.4549688042525977,0.7107779324094995,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.622,0.378,0.06461686935190095,0.20736714990101385,1.455018580910911,0.7107855628709103,67,236,convex linear pool of coherent GP and normalised market book probabilities
