event_date,empirical_period,contract_key,12h_prior,24h_prior,6h_prior,event_day_open,contract_complete,taec_date_eligible
2026-05-12,market_development,109212325655609776091416748101230786396997863607053052182577957624293470398221,0.033,0.065,0.0215,0.042,True,True
2026-05-12,market_development,21501584071606142044706692928603365748684803251201184622783874182587988417160,0.195,0.21,0.18,0.15,True,True
2026-05-12,market_development,40971770225839907987839430167804028659192244871441058945182324876628578858016,0.365,0.365,0.34,0.28,True,True
2026-05-12,market_development,49920848569354508053441355778249391064461898878781101297652628609370507579449,0.18,0.165,0.11,0.09,True,True
2026-05-12,market_development,52382953076824592646563469027077574993332272732178817818063891419362311970199,0.0005,0.0005,0.0005,0.0005,True,True
2026-05-12,market_development,66497901400324829910944213318212764806674118789471744282615437149080863777118,0.0005,0.0005,0.0005,0.0005,True,True
2026-05-12,market_development,71900287181658372709035958751553964881382455318541252652457580863652180041167,0.0005,0.0005,0.0005,0.0005,True,True
2026-05-12,market_development,83001765064498688497184517935938704035717477674270339573186473998636428516820,0.0045,0.008,0.0015,0.0005,True,True
2026-05-12,market_development,86098172129735979203348786646315644717604722168723203089309432600371519461274,0.26,0.25,0.39,0.48,True,True
2026-05-12,market_development,99365193748721998669741539404432315390991899982551301974543288641235828623890,0.0015,0.0035,0.001,0.001,True,True
2026-05-13,market_development,104450503538901721170061194972767547946753464605112920808116947194293717654463,0.001,0.0025,0.001,0.0005,True,True
2026-05-13,market_development,113044735620665045674340059480445915516184206057372753167507853740969846234795,0.001,0.001,0.001,0.0005,True,True
2026-05-13,market_development,15072537325954818905891215950970825104844834145268967009816315370640983664322,0.003,0.0055,0.001,0.0005,True,True
2026-05-13,market_development,24076747332507940187081748955679767950994553359949534290125878665109785852589,0.1145,0.1255,0.0475,0.0125,True,True
2026-05-13,market_development,24477730289429422110995748647031832343826179300167791601943678446528274285659,0.001,0.001,0.001,0.0005,True,True
2026-05-13,market_development,27501437318621310630672986409949191458583126158685581329323679937369462165165,0.0045,0.0115,0.002,0.0005,True,True
2026-05-13,market_development,43118934298443695497449802013170218206432197257079649859294698232705146672003,0.365,0.45,0.125,0.07,True,True
2026-05-13,market_development,66823202511511208025085598819892532740746040369560940703027053329618085686518,0.355,0.315,0.235,0.205,True,True
2026-05-13,market_development,76228555352966265831763695402997682028777232585833072805382636283279759029959,0.001,0.0015,0.001,0.0005,True,True
2026-05-13,market_development,77350277120769685585558148556145717166757300516354195932245725073346081112618,0.029,0.044,0.0085,0.002,True,True
2026-05-13,market_development,96952715645347933668193353345178687845203269202425706704597436723653923173021,0.191,0.091,0.624,0.759,True,True
2026-05-14,market_development,103664350911617261470534091154697814231480065645473321536779005854473575029145,0.065,0.085,0.0155,0.002,True,True
2026-05-14,market_development,10611607143288265551278725358846568129410268937146841219725713810979143691623,0.12,0.285,0.225,0.09,True,True
2026-05-14,market_development,111205811963363052942348288726305725802326163941798563318185371740853137382301,0.355,0.26,0.305,0.365,True,True
2026-05-14,market_development,114353278353205777474360915383230935741905630220842934044530479872855772527869,0.0035,0.0065,0.003,0.0015,True,True
2026-05-14,market_development,115460934613582062944368281420815381853327999645956356391132524378710044532804,0.39,0.385,0.4,0.425,True,True
2026-05-14,market_development,28966508111538782149857176457532451950070638989217766300717113885951395532500,0.0005,0.001,0.0005,0.0005,True,True
2026-05-14,market_development,31011844628496081254475872476457386902139391319310431332012713219036926417110,0.003,0.004,0.0025,0.0015,True,True
2026-05-14,market_development,57226492536499109381396778207373207848366966444736027036525324139134228741079,0.11,0.055,0.085,0.115,True,True
2026-05-14,market_development,73080109768778736097505814292433443701182804683603586241074458744000968453626,0.001,0.001,0.001,0.0005,True,True
2026-05-14,market_development,75377319358811890662378984641301732985563841265470001576319157905598721441942,0.0475,0.0475,0.029,0.0205,True,True
2026-05-14,market_development,83669070352390315284310187333271190482572609125829224621534733428656933027150,0.0005,0.001,0.001,0.0005,True,True
2026-05-15,market_development,103674196032690672583199597457772484505079303099707137850495070899947333628077,0.005,0.0055,0.002,0.0005,True,True
2026-05-15,market_development,112051175467596193118633097701591164138627560697073830936064437790145356007020,0.001,0.0015,0.0005,0.0005,True,True
2026-05-15,market_development,114996785451074563726218727756093212218003683331202710068787409594858690190466,0.0285,0.0255,0.049,0.043,True,True
2026-05-15,market_development,115586177997558157632001952570379958670244748914775941960520746646941695321524,0.445,0.465,0.29,0.315,True,True
2026-05-15,market_development,19959307199190656746133846770449502665289274469655226892301692404467658362629,0.35,0.375,0.41,0.415,True,True
2026-05-15,market_development,44067316585576843758336293306195862515018888276903451165477018952830130787488,0.0015,0.001,0.0005,0.0005,True,True
2026-05-15,market_development,47709800782323519283925630756243687698464571935536429638906024993951728850483,0.002,0.002,0.0005,0.0005,True,True
2026-05-15,market_development,64204507283196450773998366826451675066887732119896614302784411670845419870312,0.0145,0.013,0.007,0.0075,True,True
2026-05-15,market_development,66580496882875105399932953174008526968213133759654173210487115170801053677989,0.0065,0.0055,0.004,0.0005,True,True
2026-05-15,market_development,94529568305136792355299447016752627510735685157430183268158725040771483878776,0.18,0.155,0.265,0.24,True,True
2026-05-15,market_development,9599694560764662665168073859916134944089593676203757259624747727918406588501,0.001,0.001,0.0005,0.0005,True,True
2026-05-16,market_development,100353571608216435125231546658400297861997758553485825361209555763708200951209,0.375,0.345,0.395,0.405,True,True
